gene_symbol,ensembl_id,score,disease_name,efo_id
FGFR3,ENSG00000068078,0.685035515150375,Testicular Germ Cell Tumor,EFO_1000566
STK11,ENSG00000118046,0.6428360121915276,Testicular Germ Cell Tumor,EFO_1000566
KIT,ENSG00000157404,0.6381494178747282,Testicular Germ Cell Tumor,EFO_1000566
KRAS,ENSG00000133703,0.5147835545374929,Testicular Germ Cell Tumor,EFO_1000566
BCL10,ENSG00000142867,0.5039917132549853,Testicular Germ Cell Tumor,EFO_1000566
DMRT1,ENSG00000137090,0.49157731990812525,Testicular Germ Cell Tumor,EFO_1000566
KITLG,ENSG00000049130,0.48783350678568915,Testicular Germ Cell Tumor,EFO_1000566
NRAS,ENSG00000213281,0.453549701088394,Testicular Germ Cell Tumor,EFO_1000566
TP53,ENSG00000141510,0.4349804496656306,Testicular Germ Cell Tumor,EFO_1000566
PIK3CA,ENSG00000121879,0.41971399621361966,Testicular Germ Cell Tumor,EFO_1000566
DAZL,ENSG00000092345,0.41724324121853945,Testicular Germ Cell Tumor,EFO_1000566
BRAF,ENSG00000157764,0.41609925584895485,Testicular Germ Cell Tumor,EFO_1000566
HRAS,ENSG00000174775,0.4140249804833734,Testicular Germ Cell Tumor,EFO_1000566
HNF1B,ENSG00000275410,0.407664572798489,Testicular Germ Cell Tumor,EFO_1000566
APC,ENSG00000134982,0.4027496466426538,Testicular Germ Cell Tumor,EFO_1000566
ATM,ENSG00000149311,0.397283560591867,Testicular Germ Cell Tumor,EFO_1000566
RFWD3,ENSG00000168411,0.39014774705996413,Testicular Germ Cell Tumor,EFO_1000566
LRP1B,ENSG00000168702,0.38598368876415007,Testicular Germ Cell Tumor,EFO_1000566
NF1,ENSG00000196712,0.385954295468649,Testicular Germ Cell Tumor,EFO_1000566
SSR3,ENSG00000114850,0.3778366154701683,Testicular Germ Cell Tumor,EFO_1000566
TOP2A,ENSG00000131747,0.3719205270977049,Testicular Germ Cell Tumor,EFO_1000566
CENPE,ENSG00000138778,0.37171348186828496,Testicular Germ Cell Tumor,EFO_1000566
CDKN2A,ENSG00000147889,0.37039389208507284,Testicular Germ Cell Tumor,EFO_1000566
CTNNB1,ENSG00000168036,0.36961578605946277,Testicular Germ Cell Tumor,EFO_1000566
PTMA,ENSG00000187514,0.3695798546847018,Testicular Germ Cell Tumor,EFO_1000566
TOP2B,ENSG00000077097,0.3682965913003799,Testicular Germ Cell Tumor,EFO_1000566
CREBBP,ENSG00000005339,0.367013327916058,Testicular Germ Cell Tumor,EFO_1000566
DICER1,ENSG00000100697,0.36050322696363657,Testicular Germ Cell Tumor,EFO_1000566
SMARCA4,ENSG00000127616,0.35755824330037445,Testicular Germ Cell Tumor,EFO_1000566
WT1,ENSG00000184937,0.35150015904244647,Testicular Germ Cell Tumor,EFO_1000566
ZFHX3,ENSG00000140836,0.34648111376690793,Testicular Germ Cell Tumor,EFO_1000566
MAP3K1,ENSG00000095015,0.34648111376690793,Testicular Germ Cell Tumor,EFO_1000566
NSD2,ENSG00000109685,0.34648111376690793,Testicular Germ Cell Tumor,EFO_1000566
CBL,ENSG00000110395,0.34391458699826416,Testicular Germ Cell Tumor,EFO_1000566
KMT2C,ENSG00000055609,0.34391458699826416,Testicular Germ Cell Tumor,EFO_1000566
PRTG,ENSG00000166450,0.34256386446527726,Testicular Germ Cell Tumor,EFO_1000566
ZFP42,ENSG00000179059,0.3331811776315972,Testicular Germ Cell Tumor,EFO_1000566
RB1,ENSG00000139687,0.33041390875974924,Testicular Germ Cell Tumor,EFO_1000566
UCK2,ENSG00000143179,0.32983385535527937,Testicular Germ Cell Tumor,EFO_1000566
EGFR,ENSG00000146648,0.329157927554978,Testicular Germ Cell Tumor,EFO_1000566
MTOR,ENSG00000198793,0.32821067699789286,Testicular Germ Cell Tumor,EFO_1000566
BRCA1,ENSG00000012048,0.32492423947064447,Testicular Germ Cell Tumor,EFO_1000566
RRAS2,ENSG00000133818,0.32453730989500373,Testicular Germ Cell Tumor,EFO_1000566
FGFR2,ENSG00000066468,0.32449111241316814,Testicular Germ Cell Tumor,EFO_1000566
BRCA2,ENSG00000139618,0.32430632248582586,Testicular Germ Cell Tumor,EFO_1000566
SMAD4,ENSG00000141646,0.3240753350766479,Testicular Germ Cell Tumor,EFO_1000566
ALK,ENSG00000171094,0.32402913759481233,Testicular Germ Cell Tumor,EFO_1000566
SPRY4,ENSG00000187678,0.3237190072827488,Testicular Germ Cell Tumor,EFO_1000566
KMT2D,ENSG00000167548,0.3233823728491141,Testicular Germ Cell Tumor,EFO_1000566
PTCH1,ENSG00000185920,0.3233823728491141,Testicular Germ Cell Tumor,EFO_1000566
EP300,ENSG00000100393,0.3233823728491141,Testicular Germ Cell Tumor,EFO_1000566
BRD4,ENSG00000141867,0.3233823728491141,Testicular Germ Cell Tumor,EFO_1000566
DDR2,ENSG00000162733,0.3233823728491141,Testicular Germ Cell Tumor,EFO_1000566
TERT,ENSG00000164362,0.3215969583599172,Testicular Germ Cell Tumor,EFO_1000566
RESF1,ENSG00000174718,0.3182041801071649,Testicular Germ Cell Tumor,EFO_1000566
BAK1,ENSG00000030110,0.31754190921068265,Testicular Germ Cell Tumor,EFO_1000566
PIK3CD,ENSG00000171608,0.31069922458147137,Testicular Germ Cell Tumor,EFO_1000566
BMERB1,ENSG00000166780,0.3098697627317893,Testicular Germ Cell Tumor,EFO_1000566
ZNF638,ENSG00000075292,0.2941391513186215,Testicular Germ Cell Tumor,EFO_1000566
PKNOX2,ENSG00000165495,0.29043857607368045,Testicular Germ Cell Tumor,EFO_1000566
PTEN,ENSG00000171862,0.283042977083647,Testicular Germ Cell Tumor,EFO_1000566
FANCA,ENSG00000187741,0.2817878493979894,Testicular Germ Cell Tumor,EFO_1000566
MDM2,ENSG00000135679,0.28153585759453204,Testicular Germ Cell Tumor,EFO_1000566
PDGFRA,ENSG00000134853,0.27994904034335566,Testicular Germ Cell Tumor,EFO_1000566
FHIT,ENSG00000189283,0.279910542441826,Testicular Germ Cell Tumor,EFO_1000566
RAC1,ENSG00000136238,0.27903279028694983,Testicular Germ Cell Tumor,EFO_1000566
ZFPM1,ENSG00000179588,0.27827179689946535,Testicular Germ Cell Tumor,EFO_1000566
KMT2A,ENSG00000118058,0.2776468658318822,Testicular Germ Cell Tumor,EFO_1000566
GATA3,ENSG00000107485,0.27755447086821106,Testicular Germ Cell Tumor,EFO_1000566
WRN,ENSG00000165392,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
CACNA1D,ENSG00000157388,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
SRSF2,ENSG00000161547,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
CDK12,ENSG00000167258,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
ERCC3,ENSG00000163161,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
PTPRT,ENSG00000196090,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
FLT4,ENSG00000037280,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
ABL2,ENSG00000143322,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
NOTCH2,ENSG00000134250,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
MPL,ENSG00000117400,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
KDM6A,ENSG00000147050,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
DDX3X,ENSG00000215301,0.27718489101352634,Testicular Germ Cell Tumor,EFO_1000566
HEATR3,ENSG00000155393,0.2768496633810429,Testicular Germ Cell Tumor,EFO_1000566
BDH2,ENSG00000164039,0.26402604001526453,Testicular Germ Cell Tumor,EFO_1000566
MCM3AP,ENSG00000160294,0.2612516174263838,Testicular Germ Cell Tumor,EFO_1000566
ZNF726,ENSG00000213967,0.2574687751346786,Testicular Germ Cell Tumor,EFO_1000566
TFDP2,ENSG00000114126,0.2549945906634251,Testicular Germ Cell Tumor,EFO_1000566
DNMT3A,ENSG00000119772,0.25367745637309363,Testicular Germ Cell Tumor,EFO_1000566
SMAD2,ENSG00000175387,0.2525359679274716,Testicular Germ Cell Tumor,EFO_1000566
NF2,ENSG00000186575,0.25244357296380043,Testicular Germ Cell Tumor,EFO_1000566
NCOR1,ENSG00000141027,0.2515196233270887,Testicular Germ Cell Tumor,EFO_1000566
BIRC6,ENSG00000115760,0.25056831888202763,Testicular Germ Cell Tumor,EFO_1000566
ATF7IP,ENSG00000171681,0.24421305931146703,Testicular Germ Cell Tumor,EFO_1000566
MLH1,ENSG00000076242,0.24395834459363042,Testicular Germ Cell Tumor,EFO_1000566
CDH1,ENSG00000039068,0.23856745277214675,Testicular Germ Cell Tumor,EFO_1000566
FBXW7,ENSG00000109670,0.23816598454983523,Testicular Germ Cell Tumor,EFO_1000566
ESR1,ENSG00000091831,0.2372881689850411,Testicular Germ Cell Tumor,EFO_1000566
MAD1L1,ENSG00000002822,0.23710328555491025,Testicular Germ Cell Tumor,EFO_1000566
AXIN1,ENSG00000103126,0.23532997247048387,Testicular Germ Cell Tumor,EFO_1000566
BAX,ENSG00000087088,0.23431947955113344,Testicular Germ Cell Tumor,EFO_1000566
RET,ENSG00000165731,0.23335887991216547,Testicular Germ Cell Tumor,EFO_1000566
PLAG1,ENSG00000181690,0.23167523835193515,Testicular Germ Cell Tumor,EFO_1000566
LATS2,ENSG00000150457,0.23155647631227133,Testicular Germ Cell Tumor,EFO_1000566
ARID1A,ENSG00000117713,0.23135698903262333,Testicular Germ Cell Tumor,EFO_1000566
PTPN11,ENSG00000179295,0.23135698903262333,Testicular Germ Cell Tumor,EFO_1000566
STK10,ENSG00000072786,0.23115166689113179,Testicular Germ Cell Tumor,EFO_1000566
JAK3,ENSG00000105639,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
PIK3R1,ENSG00000145675,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
MED12,ENSG00000184634,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
TSC2,ENSG00000103197,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
FLT3,ENSG00000122025,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
ASXL1,ENSG00000171456,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
FAT1,ENSG00000083857,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
JAK1,ENSG00000162434,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
LZTR1,ENSG00000099949,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
ABL1,ENSG00000097007,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
KDR,ENSG00000128052,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
LEF1,ENSG00000138795,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
BCOR,ENSG00000183337,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
BARD1,ENSG00000138376,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
ERBB4,ENSG00000178568,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
RPL5,ENSG00000122406,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
GNA11,ENSG00000088256,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
CHD4,ENSG00000111642,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
KDM5C,ENSG00000126012,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
PRDM16,ENSG00000142611,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
SPEN,ENSG00000065526,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
SMAD3,ENSG00000166949,0.2309874091779386,Testicular Germ Cell Tumor,EFO_1000566
NOTCH1,ENSG00000148400,0.23043264173710806,Testicular Germ Cell Tumor,EFO_1000566
FAT4,ENSG00000196159,0.22944709545794884,Testicular Germ Cell Tumor,EFO_1000566
TET1,ENSG00000138336,0.22171344061579898,Testicular Germ Cell Tumor,EFO_1000566
CNOT2,ENSG00000111596,0.21604178963241377,Testicular Germ Cell Tumor,EFO_1000566
ARAF,ENSG00000078061,0.21121488695230706,Testicular Germ Cell Tumor,EFO_1000566
MAP2K1,ENSG00000169032,0.21088453105788643,Testicular Germ Cell Tumor,EFO_1000566
ZNF728,ENSG00000269067,0.21049514525644755,Testicular Germ Cell Tumor,EFO_1000566
CNTNAP2,ENSG00000174469,0.2090436053060344,Testicular Germ Cell Tumor,EFO_1000566
FAM135B,ENSG00000147724,0.20788866826014474,Testicular Germ Cell Tumor,EFO_1000566
CSMD3,ENSG00000164796,0.20788866826014474,Testicular Germ Cell Tumor,EFO_1000566
ZNF429,ENSG00000197013,0.20788866826014474,Testicular Germ Cell Tumor,EFO_1000566
GAB2,ENSG00000033327,0.20134571092810288,Testicular Germ Cell Tumor,EFO_1000566
LATS1,ENSG00000131023,0.19791928806258613,Testicular Germ Cell Tumor,EFO_1000566
ZWILCH,ENSG00000174442,0.19608074172439943,Testicular Germ Cell Tumor,EFO_1000566
CDKL2,ENSG00000138769,0.195556663001932,Testicular Germ Cell Tumor,EFO_1000566
PMS2,ENSG00000122512,0.19402757581019503,Testicular Germ Cell Tumor,EFO_1000566
PTPRB,ENSG00000127329,0.192452088729658,Testicular Germ Cell Tumor,EFO_1000566
AKT1,ENSG00000142208,0.19105162392659172,Testicular Germ Cell Tumor,EFO_1000566
CCDC6,ENSG00000108091,0.19016423439589092,Testicular Germ Cell Tumor,EFO_1000566
AKT3,ENSG00000117020,0.189594465453252,Testicular Germ Cell Tumor,EFO_1000566
SOX2,ENSG00000181449,0.18915643318696174,Testicular Germ Cell Tumor,EFO_1000566
FUBP1,ENSG00000162613,0.1884857258891979,Testicular Germ Cell Tumor,EFO_1000566
CDKN1B,ENSG00000111276,0.18841386313967587,Testicular Germ Cell Tumor,EFO_1000566
CHEK2,ENSG00000183765,0.1882932363815496,Testicular Germ Cell Tumor,EFO_1000566
EZH2,ENSG00000106462,0.18802118454407338,Testicular Germ Cell Tumor,EFO_1000566
NTRK1,ENSG00000198400,0.18756177625248613,Testicular Germ Cell Tumor,EFO_1000566
CCND2,ENSG00000118971,0.1872786852072189,Testicular Germ Cell Tumor,EFO_1000566
SMARCB1,ENSG00000099956,0.1870074064704591,Testicular Germ Cell Tumor,EFO_1000566
SND1,ENSG00000197157,0.18681748348957947,Testicular Germ Cell Tumor,EFO_1000566
MSH2,ENSG00000095002,0.18677641906128115,Testicular Germ Cell Tumor,EFO_1000566
TP63,ENSG00000073282,0.18677641906128115,Testicular Germ Cell Tumor,EFO_1000566
HNF1A,ENSG00000135100,0.1866378266157744,Testicular Germ Cell Tumor,EFO_1000566
TBX3,ENSG00000135111,0.1866378266157744,Testicular Germ Cell Tumor,EFO_1000566
